week_start,trades,winners,losers,win_rate,total_pnl,total_r,equity,weekly_return_pct
2025-03-24,6,3,3,0.5,42.15,1.1666,9611.37,0.4405
2025-03-31,5,0,5,0.0,-160.49,-4.8314,9450.88,-1.6698
2025-04-07,2,1,1,0.5,32.66,0.9423,9483.54,0.3456
2025-04-14,8,4,4,0.5,65.04,2.4177,9548.58,0.6858
2025-04-21,2,0,2,0.0,-47.45,-1.5681,9501.13,-0.4969
2025-04-28,6,5,1,0.8333,59.48,1.9595,9560.61,0.626
2025-05-05,5,4,1,0.8,117.68,3.1038,9678.29,1.2309
2025-05-12,7,6,1,0.8571,197.72,6.4247,9876.01,2.0429
2025-05-19,5,1,4,0.2,-92.24,-2.7309,9783.77,-0.934
2025-05-26,0,0,0,,0.0,0.0,9783.77,0.0
2025-06-02,4,2,2,0.5,-2.33,-0.262,9781.44,-0.0238
2025-06-09,6,2,4,0.3333,-39.25,-1.2704,9742.19,-0.4013
2025-06-16,4,1,3,0.25,-17.26,-0.5246,9724.93,-0.1772
2025-06-23,6,1,5,0.1667,-97.84,-2.8826,9627.09,-1.0061
2025-06-30,2,1,1,0.5,10.55,0.2878,9637.64,0.1096
2025-07-07,6,4,2,0.6667,168.15,5.0486,9805.79,1.7447
2025-07-14,5,1,4,0.2,-42.28,-1.339,9763.51,-0.4312
2025-07-21,6,4,2,0.6667,122.24,3.5871,9885.75,1.252
2025-07-28,6,0,6,0.0,-123.92,-4.281,9761.83,-1.2535
2025-08-04,3,2,1,0.6667,31.06,1.2285,9792.89,0.3182
2025-08-11,6,6,0,1.0,226.19,6.9267,10019.08,2.3097
2025-08-18,6,4,2,0.6667,57.96,1.6789,10077.04,0.5785
2025-08-25,3,1,2,0.3333,-21.87,-0.7723,10055.17,-0.217
2025-09-01,2,2,0,1.0,36.07,1.1019,10091.24,0.3587
2025-09-08,4,1,3,0.25,-17.69,-0.3964,10073.55,-0.1753
2025-09-15,6,3,3,0.5,-30.51,-1.0054,10043.04,-0.3029
2025-09-22,5,3,2,0.6,22.4,0.2756,10065.44,0.223
2025-09-29,4,1,3,0.25,-87.91,-2.6841,9977.53,-0.8734
2025-10-06,5,2,3,0.4,-37.09,-1.3753,9940.44,-0.3717
2025-10-13,5,2,3,0.4,-19.34,-0.4556,9921.1,-0.1946
2025-10-20,6,3,3,0.5,-34.7,-1.1437,9886.4,-0.3498
2025-10-27,5,2,3,0.4,-49.88,-1.3868,9836.52,-0.5045
2025-11-03,5,1,4,0.2,-85.21,-3.1958,9751.31,-0.8663
2025-11-10,4,1,3,0.25,-0.52,-0.1571,9750.79,-0.0053
2025-11-17,5,2,3,0.4,-29.29,-1.261,9721.5,-0.3004
2025-11-24,6,6,0,1.0,143.73,4.3761,9865.23,1.4785
2025-12-01,4,2,2,0.5,25.27,0.7391,9890.5,0.2562
2025-12-08,5,1,4,0.2,-35.06,-1.0498,9855.44,-0.3545
2025-12-15,6,2,4,0.3333,-42.76,-1.1249,9812.68,-0.4339
2025-12-22,5,2,3,0.4,-45.46,-1.3327,9767.22,-0.4633
2025-12-29,3,2,1,0.6667,-15.75,-0.5383,9751.47,-0.1613
2026-01-05,6,4,2,0.6667,157.89,5.8533,9909.36,1.6191
2026-01-12,4,2,2,0.5,152.77,3.1839,10062.13,1.5417
2026-01-19,2,2,0,1.0,98.35,2.8645,10160.48,0.9774
2026-01-26,4,1,3,0.25,-72.36,-2.4652,10088.12,-0.7122
2026-02-02,6,3,3,0.5,97.42,2.8895,10185.54,0.9657
2026-02-09,3,1,2,0.3333,-36.02,-1.0837,10149.52,-0.3536
2026-02-16,2,2,0,1.0,62.85,1.7764,10212.37,0.6192
2026-02-23,5,2,3,0.4,-17.32,-0.6933,10195.05,-0.1696
2026-03-02,3,0,3,0.0,-97.16,-3.0503,10097.89,-0.953
2026-03-09,7,3,4,0.4286,-36.1,-1.2526,10061.79,-0.3575
